year,career,ranking,studyArea
2023,Investment Consultant,19,Commerce_FinanceAndAcounting
2023,Digital Transformation Consultant,20,ComputerSciencesAndInformationTechnology
2023,Listing Agent,21,Commerce_FinanceAndAcounting
2023,Pen Tester,22,ComputerSciencesAndInformationTechnology
2023,Customer Insights Analyst,23,ManagementSciences
2023,Director of People and Culture,24,ManagementSciences
2023,Director of Data Science,25,ComputerSciencesAndInformationTechnology
2024,Mental Health Technician,1,SocialSciences
2024,Loan Officer,2,Commerce_FinanceAndAcounting
2024,Mental Health Therapist,3,SocialSciences
2024,Electrical Engineer,4,Engineering
2024,Construction Project Manager,5,ManagementSciences
2024,Mechanical Engineer,6,Engineering
2024,Psychiatrist,7,MedicalSciences
2024,Human Resources Manager,8,ManagementSciences
2024,Senior Accountant,9,Commerce_FinanceAndAcounting
2024,Data Engineer,10,ComputerSciencesAndInformationTechnology
2024,Civil Engineer,11,Engineering
2024,Supply Chain Specialist,12,ManagementSciences
2024,Accounting Manager,13,Commerce_FinanceAndAcounting
2024,Attorney,14,ManagementSciences
2024,Designer,15,ArtAndDesign
2024,Controller,16,ManagementSciences
2024,Behavioral Health Professional,17,SocialSciences
2024,Psychiatric Nurse,18,MedicalSciences
2024,Quality Engineer,29,Engineering
2024,Senior Engineer,20,Engineering
2024,Associate Attorney,21,SocialSciences
2024,Real Estate Analyst,22,Commerce_FinanceAndAcounting
2024,Psychiatric Mental  Health Nurse Practitioner,23,MedicalSciences
2024,Tax Manager,24,Commerce_FinanceAndAcounting
2024,Medical Director,25,MedicalSciences
2018,Commercial Project Manager,1,ManagementSciences
2018,Full-stack Developer,2,ComputerSciencesAndInformationTechnology
2018,Computer Vision Engineer,3,ComputerSciencesAndInformationTechnology
2018,Machine Learning Engineer,4,ComputerSciencesAndInformationTechnology
2018,Preconstruction Manager,5,Engineering
2018,Construction Superintendent,6,Engineering
2018,Optometrist,7,BiologicalAndLifeSciences
2018,Data Scientist,8,ComputerSciencesAndInformationTechnology
2018,Chief Estimator,9,Engineering
2018,Development Operations Engineer,10,ComputerSciencesAndInformationTechnology
2018,Agile Coach,11,ManagementSciences
2018,Construction Estimator,12,Engineering
2018,Senior Talent Acquisition Manager,13,ManagementSciences
2018,Plumbing Engineer,14,Engineering
2018,Project Superintendent,15,Engineering
2018,Staff Pharmacist,16,MedicalSciences
2018,Head of Sales,17,Commerce_FinanceAndAcounting
2018,Commercial Real Estate Agent,18,Commerce_FinanceAndAcounting
2018,Construction Manager,19,ManagementSciences
2018,Project Architect,20,ArtAndDesign
2018,Product Owner,21,ComputerSciencesAndInformationTechnology
2018,Senior Clinical Specialist,22,MedicalSciences
2018,User Experience researcher,23,ComputerSciencesAndInformationTechnology
2018,Registered Nurse,24,BiologicalAndLifeSciences
2018,Partnership Manager,25,ManagementSciences 
2017,Full-stack Developer,1,ComputerSciencesAndInformationTechnology
2017,Data Scientist,2,ComputerSciencesAndInformationTechnology
2017,Development Operations Engineer,3,ComputerSciencesAndInformationTechnology
2017,Salesforce Administrator,4,ComputerSciencesAndInformationTechnology 
2017,IT Engineer,5,ComputerSciencesAndInformationTechnology 
2017,Salesforce Developer,6,ComputerSciencesAndInformationTechnology 
2017,Quality Engineer,7,Engineering
2017,Digital Project Manager,8,ComputerSciencesAndInformationTechnology
2017,Cloud Engineer,9,ComputerSciencesAndInformationTechnology
2017,Mgmt Consulting Analytics Manager,10,ManagementSciences
2017,Project Architect,11,ArtAndDesign
2017,Penetration Tester,12,ComputerSciencesAndInformationTechnology
